  notation,bw(mm),a/d,d(mm),pl%,fck(Mpa),f´c(Mpa),Vu_Rep(kN)
Taylor2_1972_002_A2,400,3.01,930.0,1.351,18.59,20.19,328.4
Taylor2_1972_003_B1,200,3.01,465.0,1.351,22.84,24.44,104.3
Taylor2_1972_004_B2,200,3.01,465.0,1.351,18.03,19.63,87.3
Taylor2_1972_005_B3,200,3.01,465.0,1.351,24.42,26.02,85.3
Walraven_1978_001_A1,200,3.00,125.0,0.829,20.11,21.71,29.8
Walraven_1978_002_A2,200,3.00,420.0,0.741,20.11,21.71,70.6
Walraven_1978_003_A3,200,3.00,720.0,0.792,20.42,22.02,100.8
Xie_1994_003_NNN-3,127,2.93,215.9,2.079,34.47,36.07,36.9
Xie_1994_006_NHN-3,127,2.93,215.9,2.079,96.92,98.52,46.0
Yoon_1996_001_N1-S,375,3.23,655.0,2.878,32.00,33.60,249.0
Yoon_1996_002_M1-S,375,3.23,655.0,2.878,63.00,64.60,296.0
Yoon_1996_003_H1-S,375,3.23,655.0,2.878,83.00,84.60,327.0
Yoshida_2000_001_YB2000/0,300,2.82,1890.0,0.741,29.60,31.20,255.0
Lubell_2006_001_AW1,1170,3.30,538.0,0.794,32.90,34.50,585.0
Lubell_2006_002_AW4,1168,3.51,506.0,1.692,35.90,37.50,725.0
Lubell_2006_003_AW8,1169,3.57,507.0,1.687,35.40,37.00,800.0
Lubell_2006_004_AX6,703,3.48,288.0,1.729,37.00,38.60,282.5
Lubell_2006_005_AX7,704,3.49,287.0,1.039,37.00,38.60,250.5
Lubell_2006_006_AX8,705,3.47,289.0,1.718,37.00,38.60,272.0
Lubell_2006_007_AY1,249,2.91,434.0,0.328,36.70,38.30,85.3
Sherwood_2008_001_L-10N1,300,2.87,1400.0,0.833,34.40,36.00,270.6
Sherwood_2008_002_L-10N2,300,2.87,1400.0,0.833,36.30,37.90,247.9
Sherwood_2008_003_L-10H,300,2.87,1400.0,0.833,69.60,71.20,240.4
Sherwood_2008_004_L-20N1,300,2.87,1400.0,0.833,27.40,29.00,268.4
Sherwood_2008_005_L-20N2,300,2.87,1400.0,0.833,29.20,30.80,272.5
Sherwood_2008_006_L-40N1,300,2.87,1400.0,0.833,24.10,25.70,245.0
Sherwood_2008_007_L-40N2,300,2.87,1400.0,0.833,24.50,26.10,290.7
Sherwood_2008_008_L-50N1,300,2.87,1400.0,0.833,37.00,38.60,274.3
Sherwood_2008_009_L-50N2,300,2.87,1400.0,0.833,36.10,37.70,299.1
Sherwood_2008_010_L-50N2R,300,2.87,1400.0,0.833,36.10,37.70,331.2
Sherwood_2008_011_S-10N1,122,2.78,280.0,0.835,37.90,39.50,36.7
Sherwood_2008_012_S-10N2,122,2.78,280.0,0.835,37.90,39.50,38.3
Sherwood_2008_013_S-10H,122,2.78,280.0,0.835,73.30,74.90,37.7
Sherwood_2008_014_S-20N1,122,2.78,280.0,0.835,35.20,36.80,39.2
Sherwood_2008_015_S-20N2,122,2.78,280.0,0.835,34.10,35.70,38.3
Sherwood_2008_016_S-40N1,122,2.78,280.0,0.835,25.10,26.70,41.7
Sherwood_2008_017_S-40N2,122,2.78,280.0,0.835,25.10,26.70,34.9
Sherwood_2008_018_S-50N1,122,2.78,280.0,0.835,39.50,41.10,38.5
Sherwood_2008_019_S-50N2,122,2.78,280.0,0.835,39.50,41.10,40.6
Sherwood_2008_020_L-20L,295,2.77,1450.0,0.254,31.40,33.00,188.4
Sherwood_2008_021_L-20LR,295,2.77,1450.0,0.254,31.40,33.00,225.8
Thiele_2010_001_T1-ohne,400,4.15,248.0,0.931,21.60,23.20,107.4
Thiele_2010_002_T7_70_oben,400,3.47,297.0,1.354,20.63,22.23,130.9
Thiele_2010_003_T9-ohne,400,4.97,167.0,2.408,37.76,39.36,112.2
Thiele_2010_004_T13-ohne,400,3.82,217.0,1.853,38.47,40.07,127.8
Thiele_2010_005_T10_40_oben,400,4.97,167.0,2.408,37.76,39.36,102.4
Injaganeri_2007_001_H20-0-0,150,2.88,161.0,2.498,46.40,48.00,56.2
Injaganeri_2007_002_H40-0-0,150,2.95,345.0,2.331,54.50,56.10,120.8
Injaganeri_2007_003_H60-0-0,150,2.97,536.0,3.126,54.50,56.10,171.8
Winkler_2011_001_SB2,150,3.91,200.0,1.194,31.10,32.70,42.0
Winkler_2011_002_SB3,150,3.92,300.0,1.180,31.10,32.70,52.4
Winkler_2011_003_SB4,225,3.93,450.0,1.204,31.10,32.70,93.4
Winkler_2011_004_SB5,300,3.94,600.0,1.199,31.10,32.70,165.7
Winkler_2011_005_SB6,450,3.94,900.0,1.200,31.10,32.70,304.2
Rosenbusch_2003_001_1.1-1 ,200,3.37,260.0,0.652,39.42,41.02,50.6
Rosenbusch_2003_002_1.2-1,200,3.37,260.0,3.552,39.42,41.02,91.1
Tureyen_2002_001_V-S-1,457,3.28,360.4,0.961,36.90,38.50,179.1
Tureyen_2002_002_V-S-2,457,3.28,360.4,1.922,37.38,38.98,203.0
Tureyen_2002_003_V-D-2,457,3.28,360.4,0.360,39.66,41.26,134.4
bentz_2005_001_SBB1.1,104,2.80,84.0,1.625,31.60,33.20,14.5
bentz_2005_002_SBB1.2,105,2.80,84.0,1.610,31.60,33.20,18.5
bentz_2005_003_SBB1.3,104,2.80,84.0,1.625,31.60,33.20,15.0
bentz_2005_004_SBB2.1,106,2.87,168.0,1.595,30.30,31.90,28.9
bentz_2005_005_SBB2.2,105,2.87,168.0,1.610,30.30,31.90,30.6
bentz_2005_006_SBB2.3,106,2.91,166.0,1.614,30.30,31.90,29.8
bentz_2005_007_SBB3.1,105,2.94,333.0,1.550,32.10,33.70,42.5
bentz_2005_008_SBB3.2,101,2.94,333.0,1.612,32.10,33.70,41.0
bentz_2005_009_SBB3.3,101,2.94,333.0,1.612,32.10,33.70,43.3
Tanimura_2005_011_45,300,2.50,400.0,2.202,93.20,94.80,345.0
Sneed_2007_001_1-1,305,2.91,233.3,1.202,62.07,63.67,131.1
Sneed_2007_002_1-2,306,2.89,531.7,1.244,62.07,63.67,139.3
Sneed_2007_003_1-3,305,2.89,681.0,1.242,61.03,62.63,146.5
Sneed_2007_004_1-4,306,2.89,822.1,1.600,70.76,72.36,165.2
Sneed_2007_005_2-1,203,2.89,234.9,1.244,64.55,66.15,57.3
Sneed_2007_006_2-2,408,2.92,527.1,1.199,60.83,62.43,155.0
Sneed_2007_007_2-3,508,2.87,684.2,1.299,64.14,65.74,260.8
Sneed_2007_008_2-4,613,2.90,820.3,1.603,68.90,70.50,344.2
Feldman_1955_001_D-1,152,2.77,252.5,3.351,26.83,28.43,60.1
Feldman_1955_002_D-2,152,2.77,252.5,3.351,34.55,36.15,71.3
Feldman_1955_003_D-3,152,3.32,252.5,3.351,29.24,30.84,56.9
Feldman_1955_006_D-6,152,2.77,252.5,3.351,19.79,21.39,61.7
Krefeld_1996_020_2AU,152,2.40,254.0,1.309,17.17,18.77,43.3
Krefeld_1996_022_4AU,152,2.40,254.0,2.618,13.86,15.46,51.6
Krefeld_1996_023_5AU,152,2.41,252.5,3.351,16.62,18.22,62.8
Krefeld_1996_026_2CU,152,3.00,254.0,1.309,16.83,18.43,32.9
Krefeld_1996_027_3CU,152,2.98,255.5,1.992,16.48,18.08,42.9
Krefeld_1996_028_4CU,152,3.00,254.0,2.618,16.55,18.15,48.2
Krefeld_1996_029_5CU,152,3.02,252.5,3.351,16.41,18.01,50.0
Krefeld_1996_030_6CU,152,3.04,250.4,4.283,16.55,18.15,47.3
Krefeld_1996_031_3EU,152,3.58,255.5,1.992,13.59,15.19,41.3
Krefeld_1996_032_4EU,152,3.60,254.0,2.618,16.24,17.84,49.0
Krefeld_1996_035_3GU,152,4.17,255.5,1.992,18.62,20.22,42.4
Krefeld_1996_037_5GU,152,4.23,252.5,3.351,17.28,18.88,47.5
Krefeld_1996_039_3JU,152,4.77,255.5,1.992,18.21,19.81,36.5
Krefeld_1996_048_4AU,152,2.40,254.0,2.618,27.66,29.26,66.8
Krefeld_1996_049_5AU,152,2.41,252.5,3.351,27.66,29.26,75.5
Krefeld_1996_050_6AU,152,2.43,250.4,4.283,30.14,31.74,88.2
Krefeld_1996_051_4CU,152,3.00,254.0,2.618,28.28,29.88,58.9
Krefeld_1996_052_5CU,152,3.02,252.5,3.351,28.28,29.88,57.7
Krefeld_1996_053_6CU,152,3.04,250.7,4.278,32.83,34.43,65.5
Krefeld_1996_063_4CU,152,3.00,254.0,2.618,13.10,14.70,42.5
Krefeld_1996_067_4EU,152,3.60,254.0,2.618,10.28,11.88,33.8
Leonhardt_1962_007_14/1,190,2.75,273.0,2.047,28.28,29.88,63.6
Leonhardt_1962_008_14/2,190,2.75,273.0,2.047,28.28,29.88,62.6
Leonhardt_1962_009_15/1,190,3.68,272.0,2.055,32.79,34.39,61.5
Leonhardt_1962_010_15/2,189,3.66,273.0,2.058,32.79,34.39,67.5
Leonhardt_1962_011_16/1,190,4.58,273.0,2.047,30.34,31.94,67.8
Leonhardt_1962_012_16/2,189,4.56,274.0,2.050,30.34,31.94,70.1
Regan_1971_001_UL1,152,3.18,265.0,2.995,30.97,32.57,63.9
Shioya_1989_005_UB-10-1.3-0,300,2.50,200.0,1.327,16.10,17.70,47.5
Shioya_1985_003_2-3,300,3.00,600.0,0.427,17.10,18.70,72.0
Shioya_1985_004_2-4,500,3.00,1000.0,0.399,23.20,24.80,157.0
Shioya_1985_005_2-5,500,3.00,1000.0,0.399,17.90,19.50,170.0
Shioya_1985_006_2-6,1000,3.00,2000.0,0.398,24.50,26.10,539.0
Shioya_1985_007_2-7,1500,3.00,3000.0,0.406,20.30,21.90,1102.5
Shioya_1989_004_3-4,300,3.00,600.0,0.427,23.30,24.90,58.8
Shioya_1989_006_3-6,500,3.00,1000.0,0.399,24.20,25.80,120.4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
